day_type,BELLVILLE,BELLVILLE (SANLAM),PAROW,ELSIES RIVER,GOODWOOD,MAITLAND,FRANS CONRADIE DRV,VOORTREKKER RD,N1 FREEWAY,SALT RIVER CIRCLE,CAPE TOWN
MondaysToFridays,07:00,07:10,via,via,via,,,,via,,08:55
MondaysToFridays,09:45,,via,via,via,via,,via,,via,10:45
MondaysToFridays,,,,,,07:15,,,,,08:05
MondaysToFridays,09:35,,via,via,via,via,,via,,via,10:35
MondaysToFridays,07:40,,via,via,via,via,,via,,via,09:20
MondaysToFridays,08:00,,via,via,via,via,,via,,via,09:30
MondaysToFridays,08:20,,via,via,via,via,,via,,via,09:40
MondaysToFridays,08:30,,via,via,via,via,,via,,via,09:30
MondaysToFridays,09:00,,via,via,via,via,,via,,via,10:30
MondaysToFridays,09:15,,via,via,via,via,,via,,via,10:15
MondaysToFridays,16:30,16:35,via,via,via,,,via,,via,18:00
MondaysToFridays,07:20,,via,via,via,via,,via,,via,08:50
Mondays_to_Thursdays,15:35,,via,via,via,via,,via,,via,16:45
Mondays_to_Thursdays,15:20,,via,via,via,via,,via,,via,16:35
Mondays_to_Thursdays,17:05,,via,via,via,via,,via,,via,17:50
Mondays_to_Thursdays,15:00,,via,via,via,via,,via,,via,16:20
Mondays_to_Thursdays,15:50,,via,via,via,via,,via,,via,17:00
Mondays_to_Thursdays,16:10,,via,via,via,via,,via,,via,17:30
Mondays_to_Thursdays,18:05,,via,via,via,via,,via,,via,19:00
Mondays_to_Thursdays,14:30,,via,via,via,via,,via,,via,16:00
Mondays_to_Thursdays,06:15,,via,via,via,via,,via,,via,07:30
Mondays_to_Thursdays,07:10,,via,via,via,via,,via,,via,08:30
Mondays_to_Thursdays,07:50,,via,via,via,via,,via,,via,08:50
Mondays_to_Thursdays,08:15,,via,via,via,via,,via,,via,09:30
Mondays_to_Thursdays,08:45,,via,via,via,via,,via,,via,10:00
Mondays_to_Thursdays,09:30,,via,via,via,via,,via,,via,11:00
Mondays_to_Thursdays,10:00,,via,via,via,via,,via,,via,11:00
Mondays_to_Thursdays,10:15,,via,via,via,via,,via,,via,11:15
Mondays_to_Thursdays,14:45,,via,via,via,via,,via,,via,16:40
Mondays_to_Thursdays,11:45,,via,via,via,via,,via,,via,13:00
Mondays_to_Thursdays,12:00,,via,via,via,via,,via,,via,13:00
Mondays_to_Thursdays,12:30,,via,via,via,via,,via,,via,13:45
Mondays_to_Thursdays,12:45,,via,via,via,via,,via,,via,14:10
Mondays_to_Thursdays,13:00,,via,via,via,via,,via,,via,14:00
Mondays_to_Thursdays,13:30,,via,via,via,via,,via,,via,15:00
Mondays_to_Thursdays,13:45,,via,via,via,via,,via,,via,15:25
Mondays_to_Thursdays,14:00,,via,via,via,via,,via,,via,15:00
Mondays_to_Thursdays,10:30,,via,via,via,via,,via,,via,12:00
PublicHolidays,10:30,,via,via,via,via,,via,,via,11:20
PublicHolidays,10:00,,via,via,via,via,,via,,via,11:00
PublicHolidays,09:30,,via,via,via,via,,via,,via,10:30
PublicHolidays,07:30,,via,via,via,via,,via,,via,08:30
PublicHolidays,08:30,,via,via,via,via,,via,,via,09:30
PublicHolidays,08:00,,via,via,via,via,,via,,via,09:00
PublicHolidays,11:00,,via,via,via,via,,via,,via,11:50
PublicHolidays,07:00,,via,via,via,via,,via,,via,08:00
PublicHolidays,09:00,,via,via,via,via,,via,,via,10:00
PublicHolidays,11:30,,via,via,via,via,,via,,via,12:30
PublicHolidays,13:30,,via,via,via,via,,via,,via,14:30
PublicHolidays,12:30,,via,via,via,via,,via,,via,13:30
PublicHolidays,13:00,,via,via,via,via,,via,,via,14:00
PublicHolidays,14:00,,via,via,via,via,,via,,via,15:00
PublicHolidays,14:30,,via,via,via,via,,via,,via,15:30
PublicHolidays,15:00,,via,via,via,via,,via,,via,16:00
PublicHolidays,15:30,,via,via,via,via,,via,,via,16:30
PublicHolidays,06:30,,via,via,via,via,,via,,via,07:30
PublicHolidays,16:30,,via,via,via,via,,via,,via,17:30
PublicHolidays,17:00,,via,via,via,via,,via,,via,18:00
PublicHolidays,12:00,,via,via,via,via,,via,,via,13:00
PublicHolidays,16:00,,via,via,via,via,,via,,via,17:00
PublicHolidays,18:00,,via,via,via,via,,via,,via,19:00
PublicHolidays,17:30,,via,via,via,via,,via,,via,18:30
Saturdays,14:00,,via,via,via,via,,via,,via,15:00
Saturdays,12:00,,via,via,via,via,,via,,via,13:00
Saturdays,11:45,,via,via,via,via,,via,,via,12:45
Saturdays,11:30,,via,via,via,via,,via,,via,12:30
Saturdays,11:00,,via,via,via,via,,via,,via,12:00
Saturdays,10:30,,via,via,via,via,,via,,via,11:30
Saturdays,10:00,,via,via,via,via,,via,,via,11:00
Saturdays,09:45,,via,via,via,via,,via,,via,10:45
Saturdays,09:30,,via,via,via,via,,via,,via,10:30
Saturdays,09:00,,via,via,via,via,,via,,via,10:00
Saturdays,08:45,,via,via,via,via,,via,,via,10:00
Saturdays,08:30,,via,via,via,via,,via,,via,09:30
Saturdays,08:15,,via,via,via,via,,via,,via,09:40
Saturdays,08:00,,via,via,via,via,,via,,via,09:00
Saturdays,07:45,,via,via,via,via,,via,,via,08:45
Saturdays,07:30,,via,via,via,via,,via,,via,08:30
Saturdays,07:00,,via,via,via,via,,via,,via,08:00
Saturdays,06:30,,via,via,via,via,,via,,via,07:30
Saturdays,06:00,,via,via,via,via,,via,,via,07:00
Saturdays,05:45,,via,via,via,via,,via,,via,06:45
Saturdays,05:30,,via,via,via,via,,via,,via,06:30
Saturdays,12:30,,via,via,via,via,,via,,via,13:30
Saturdays,13:30,,via,via,via,via,,via,,via,14:30
Saturdays,16:30,,via,via,via,via,,via,,via,17:30
Saturdays,14:30,,via,via,via,via,,via,,via,15:30
Saturdays,15:00,,via,via,via,via,,via,,via,16:00
Saturdays,15:30,,via,via,via,via,,via,,via,16:30
Saturdays,16:00,,via,via,via,via,,via,,via,17:00
Saturdays,,,,16:15,via,,,via,,via,16:45
Saturdays,13:00,,via,via,via,via,,via,,via,14:00
Saturdays,17:00,,via,via,via,via,,via,,via,18:00
Saturdays,17:30,,via,via,via,via,,via,,via,18:30
Sundays,13:30,,via,via,via,via,,via,,via,14:30
Sundays,05:30,,via,via,via,via,,via,,via,06:30
Sundays,06:00,,via,via,via,via,,via,,via,07:00
Sundays,06:30,,via,via,via,via,,via,,via,07:30
Sundays,07:00,,via,via,via,via,,via,,via,08:00
Sundays,07:30,,via,via,via,via,,via,,via,08:30
Sundays,13:00,,via,via,via,via,,via,,via,14:00
Sundays,08:00,,via,via,via,via,,via,,via,09:00
Sundays,09:00,,via,via,via,via,,via,,via,10:00
Sundays,09:30,,via,via,via,via,,via,,via,10:30
Sundays,10:00,,via,via,via,via,,via,,via,11:00
Sundays,10:30,,via,via,via,via,,via,,via,11:30
Sundays,11:00,,via,via,via,via,,via,,via,12:00
Sundays,11:30,,via,via,via,via,,via,,via,12:30
Sundays,12:00,,via,via,via,via,,via,,via,13:00
Sundays,17:30,,via,via,via,via,,via,,via,18:30
Sundays,17:00,,via,via,via,via,,via,,via,18:00
Sundays,16:00,,via,via,via,via,,via,,via,17:00
Sundays,15:30,,via,via,via,via,,via,,via,16:30
Sundays,12:30,,via,via,via,via,,via,,via,13:30
Sundays,14:00,,via,via,via,via,,via,,via,15:00
Sundays,08:30,,via,via,via,via,,via,,via,09:30
Sundays,15:00,,via,via,via,via,,via,,via,16:00
