day_type,CAPE TOWN,GROOTE SCHUUR HOSP,MOWBRAY,N2 FREEWAY,ROBERT SOBUKWE RD,STELLENBOSCH ART,BELHAR,ROOSENDAAL,VOORBRUG,LEIDEN,THE HAGUE,EINDHOVEN,SYMPHONY WAY
MondaysToFridays,08:40,,09:00,,via,,via,,via,,,10:15,
MondaysToFridays,09:45,,10:05,,via,,via,,via,,,11:15,
MondaysToFridays,10:30,,,via,via,,11:30,,via,,,11:50,
Mondays_to_Thursdays,12:00,,12:20,,via,,via,,via,,,14:15,
Mondays_to_Thursdays,17:00,,,via,,,,via,via,,17:50,,
Mondays_to_Thursdays,18:30,,,via,via,,via,,via,via,,19:30,
Mondays_to_Thursdays,,,17:00,,via,,18:00,,via,,,18:40,
Mondays_to_Thursdays,17:05,,,via,,,,,,,,18:25,
Mondays_to_Thursdays,17:10,,,via,,,18:20,,,,,,
Mondays_to_Thursdays,17:20,,,via,,,,,,,,18:00,
Mondays_to_Thursdays,17:30,,,via,via,,via,,,via,,,18:45
Mondays_to_Thursdays,,,18:00,,via,,18:30,,via,,,18:55,
Mondays_to_Thursdays,17:30,,,via,,,18:45,,,,,,
Mondays_to_Thursdays,,,15:30,,via,,16:40,,via,,,17:00,
Mondays_to_Thursdays,12:00,,,via,via,,13:00,,via,,,13:25,
Mondays_to_Thursdays,11:00,,11:20,,via,,via,,via,,,12:30,
Mondays_to_Thursdays,15:30,,,via,,,,,,via,17:00,,
Mondays_to_Thursdays,17:30,,,via,,,,,,via,18:45,,
Mondays_to_Thursdays,16:50,,,via,,,18:10,,,,,,
Mondays_to_Thursdays,15:15,,,via,,,16:40,,,,,,
Mondays_to_Thursdays,,,16:00,,via,,17:00,,via,,,17:20,
Mondays_to_Thursdays,15:05,,,via,via,,via,,via,,,16:20,
Mondays_to_Thursdays,,,15:00,,via,,16:00,,via,,,16:20,
Mondays_to_Thursdays,16:05,,,via,,,17:10,,,,,,
Mondays_to_Thursdays,,,14:50,,via,,15:50,,via,,,16:00,
Mondays_to_Thursdays,16:15,,,via,,,18:00,,,,,,
Mondays_to_Thursdays,16:15,,,via,,,,via,via,,17:20,,
Mondays_to_Thursdays,,,14:30,,via,,15:30,,via,,,15:40,
Mondays_to_Thursdays,14:45,,,via,via,,15:45,,via,,,15:50,
Mondays_to_Thursdays,14:30,,14:50,,via,,via,,,via,,16:30,
Mondays_to_Thursdays,16:25,,,via,,,,,,,,18:25,
Mondays_to_Thursdays,14:20,,,via,via,,15:20,,via,,,15:50,
Mondays_to_Thursdays,16:35,,,via,,,18:00,,,,,,
Mondays_to_Thursdays,14:00,,,via,via,,15:00,,via,,,15:20,
Mondays_to_Thursdays,16:45,,,via,,,,via,via,,18:00,,
Mondays_to_Thursdays,13:30,,14:00,,via,,via,via,via,,,15:00,
Mondays_to_Thursdays,16:15,,,via,,,,,,via,17:50,,
Mondays_to_Thursdays,17:00,,,via,,,18:15,,,,,,
PublicHolidays,07:00,,07:20,,via,,via,,via,,,08:30,
PublicHolidays,16:30,,17:00,,via,,via,,via,,,17:45,
PublicHolidays,16:00,,16:20,,via,,via,,,,,17:00,
PublicHolidays,07:35,,08:05,,via,,via,,via,,,08:45,
PublicHolidays,,,19:25,,via,,via,,,,,20:20,
PublicHolidays,18:00,,18:30,,via,,via,,via,,,19:00,
Saturdays,11:30,,12:00,,via,,via,,via,,,13:05,
Saturdays,07:00,,07:10,,via,,via,,via,,,08:30,
Saturdays,08:00,,08:30,,via,,via,,via,,,09:30,
Saturdays,09:00,,09:30,,via,,via,,via,,,10:30,
Saturdays,10:00,,10:30,,via,,via,via,,via,,12:00,
Saturdays,19:00,19:20,19:30,,via,,via,,via,,,20:10,
Saturdays,11:00,,11:30,,via,,via,,via,,,12:30,
Saturdays,17:00,,17:30,,via,,via,,via,,,18:30,
Saturdays,16:00,,16:30,,via,,via,via,,via,,17:00,
Saturdays,15:00,,15:30,,via,,via,,via,,,16:30,
Saturdays,13:30,,,via,via,,14:30,,via,,,15:15,
Saturdays,13:00,,13:30,,via,,via,,via,,,15:00,
Saturdays,12:00,,12:30,,via,,via,,via,,,14:00,
Saturdays,17:30,,18:00,,via,,via,via,,via,,19:00,
Sundays,,07:05,07:15,,via,,via,,,,,08:10,
Sundays,,,11:40,,via,,12:40,,via,,,12:50,
Sundays,13:00,,13:30,,via,,via,via,,via,,14:10,
Sundays,14:50,,15:20,,via,,via,via,,via,,17:00,
Sundays,15:20,,,via,,,,,,,,16:10,
Sundays,,,16:30,,via,,17:30,,via,,,17:45,
Sundays,18:00,,18:30,,via,,via,via,,via,,19:10,
Sundays,19:00,19:15,19:20,,via,,via,,via,,,20:20,
Sundays,12:00,,12:30,,via,,via,via,,via,,13:10,
