day_type,TOWN CENTRE,LENTEGEUR HOSP,ELECTRIC CITY,MACADAMS FACTORY,PEPCOR FACTORY,KUILS RIVER,KUILS RIVER TERM,HILLCREST,EERSTE RIVER STN,MELTON ROSE STN
Mondays_to_Thursdays,14:45,,15:15,,,,,,,16:00
Mondays_to_Thursdays,14:30,,15:00,,,,,,,15:45
Mondays_to_Thursdays,14:00,,14:30,,,,,,,15:10
Mondays_to_Thursdays,13:30,,14:00,,,,,,,14:30
Mondays_to_Thursdays,13:00,,13:30,,,,,,,14:00
Mondays_to_Thursdays,12:00,,12:30,,,,,,,13:20
PublicHolidays,08:00,,via,,,,,,,09:00
PublicHolidays,16:00,,via,,,,,,,17:00
PublicHolidays,15:00,,,,,,,,,16:10
PublicHolidays,14:00,,via,,,,,,,14:55
PublicHolidays,12:00,,via,,,,,,,13:20
PublicHolidays,10:00,,via,,,,,,,11:00
PublicHolidays,09:00,,,,,,,,,10:00
PublicHolidays,07:00,07:10,,,,,,,,08:00
PublicHolidays,19:10,19:20,,,,,,,,19:50
PublicHolidays,17:10,,,,,,,,,18:10
Saturdays,11:30,,12:00,,,,,,,12:30
Saturdays,06:50,,,via,via,,07:50,,,
Saturdays,07:00,,07:30,,,,,,,08:00
Saturdays,08:00,,08:30,,,,,,,09:00
Saturdays,08:30,,09:00,,,,,,,09:30
Saturdays,09:00,,09:30,,,,,,,09:55
Saturdays,10:00,,10:30,,,,,,,11:00
Saturdays,10:30,,11:00,,,,,,,11:30
Saturdays,11:00,,11:30,,,,,,,12:30
Saturdays,18:00,18:10,,,,,,,,19:00
Saturdays,17:30,,18:00,,,,,,,18:30
Saturdays,07:30,,08:00,,,,,,,08:30
Saturdays,16:30,,17:00,,,,,,,17:30
Saturdays,15:00,,15:30,,,,,,,16:30
Saturdays,15:30,,16:00,,,,,,,16:30
Saturdays,14:20,,14:50,,,,,,,15:20
Saturdays,14:00,,14:30,,,,,,,15:00
Saturdays,14:30,,15:00,,,,,,,15:30
Saturdays,13:00,,13:30,,,,,,,14:00
Saturdays,12:30,,13:00,,,,,,,13:30
Saturdays,12:00,,12:30,,,,,,,13:00
Saturdays,16:00,,16:30,,,,,,,17:00
Saturdays,13:30,,14:00,,,,,,,14:30
Saturdays,17:00,,17:30,,,,,,,18:00
Sundays,15:00,,15:30,,,,,,,16:00
Sundays,18:00,,18:30,,,,,,,19:00
Sundays,17:00,,17:30,,,,,,,18:00
Sundays,16:00,,16:30,,,,,,,16:50
Sundays,15:30,,via,,,,,,,16:30
Sundays,13:30,,via,,,,,,,14:30
Sundays,13:00,,13:30,,,,,,,14:00
Sundays,12:30,,via,,,,,,,13:30
Sundays,12:00,,12:30,,,,,,,13:00
Sundays,11:30,,12:00,,,,,,,12:30
Sundays,11:00,11:10,,,,,,,,12:00
Sundays,10:30,,via,,,,,,,11:30
Sundays,09:30,,via,,,,,,,10:30
Sundays,09:00,,09:30,,,,,,,11:00
Sundays,,,08:10,,,,,,via,08:30
Sundays,08:00,,via,,,,,,,09:00
Sundays,07:30,,via,,,,,,,08:30
Sundays,07:00,07:10,,,,,,,,08:00
Sundays,06:00,,via,,,,,,,07:00
Sundays,14:00,,14:30,,,,,,,15:00
Sundays,10:00,,10:30,,,,,,,11:00
