day_type,NYANGA TERM,NY 108,NY 3,NY 3A,STEVE BIKO DRV,N2 FREEWAY,MOWBRAY,CAPE TOWN,PHILIPPI EAST SAP
Saturdays,09:00,via,,,,,09:35,09:50,
Saturdays,17:00,via,,,,,17:35,18:10,
Saturdays,16:00,via,,,,,16:35,17:15,
Saturdays,15:00,via,,,,,15:35,16:00,
Saturdays,14:00,via,,,,,14:35,15:10,
Saturdays,13:00,via,,,,,13:35,14:10,
Saturdays,10:00,via,,,,,10:35,11:00,
Sundays,09:30,via,,,,via,,10:30,
Sundays,08:30,via,,,,via,,09:30,
Sundays,07:30,via,,,,via,,09:30,
Sundays,06:30,via,,,,via,,07:37,
Sundays,05:50,via,,,,,06:25,06:50,
Sundays,05:30,,,,,via,,06:15,
Sundays,10:30,via,,,,via,,12:00,
